order_id,customer_id,product_id,category,price,discount,quantity,payment_method,delivery_time_days,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,order_month,order_day_of_week,order_day,order_year
100000,17270,234890,Home,164.08,0.15,1,Credit Card,4,West,No,139.47,7.88,31.17,60,Female,12,5,23,2023
100001,17603,228204,Grocery,24.73,0.0,1,Credit Card,6,South,No,24.73,4.6,-2.62,37,Male,4,3,3,2025
100002,10860,213892,Electronics,175.58,0.05,1,Credit Card,4,North,No,166.8,6.58,13.44,34,Male,10,1,8,2024
100003,15390,208689,Electronics,63.67,0.0,1,UPI,6,South,No,63.67,5.5,2.14,21,Female,9,5,14,2024
100004,15226,228063,Home,16.33,0.15,1,COD,6,East,No,13.88,2.74,1.15,39,Male,12,5,21,2024
100005,15191,214062,Beauty,53.91,0.1,2,Credit Card,5,South,No,97.04,6.32,37.35,35,Female,4,6,14,2024
100006,13772,201363,Electronics,266.5,0.0,1,PayPal,5,East,No,266.5,9.1,22.88,49,Male,5,1,20,2025
100007,13092,216691,Beauty,9.98,0.0,1,Credit Card,4,West,No,9.98,4.51,-0.02,66,Other,9,3,14,2023
100008,15734,202751,Fashion,6.61,0.05,1,Debit Card,6,West,No,6.28,3.43,-1.23,37,Female,10,0,23,2023
100009,16265,207782,Grocery,10.91,0.0,1,Credit Card,6,South,No,10.91,2.76,-1.89,56,Male,10,1,31,2023
100010,10466,217648,Beauty,6.61,0.1,1,Debit Card,5,South,No,5.95,2.16,0.52,40,Female,2,2,7,2024
100011,15334,212540,Beauty,16.22,0.0,1,PayPal,5,South,No,16.22,3.72,3.58,21,Other,7,0,8,2024
100012,14426,245991,Grocery,10.56,0.1,1,Credit Card,4,West,No,9.5,4.99,-4.23,22,Female,10,6,13,2024
100013,15578,205339,Toys,7.12,0.0,1,Debit Card,5,North,No,7.12,3.35,-0.5,56,Female,11,2,1,2023
100014,16231,227020,Home,39.19,0.0,2,Credit Card,3,North,No,78.38,7.91,14.04,63,Male,2,0,24,2025
100015,13444,227609,Home,12.63,0.2,4,Credit Card,3,North,No,40.42,6.19,5.13,36,Male,5,4,3,2024
100016,13171,205848,Sports,96.61,0.05,1,PayPal,4,West,No,91.78,3.6,23.93,47,Male,8,6,25,2024
100017,12919,216877,Fashion,16.0,0.0,3,PayPal,5,South,No,48.0,4.48,12.32,37,Male,9,3,12,2024
100018,17831,218405,Electronics,734.32,0.0,2,Wallet,4,South,No,1468.64,10.9,165.34,58,Female,6,4,20,2025
100019,10130,248629,Fashion,50.52,0.0,1,Credit Card,3,North,Yes,50.52,6.2,11.48,56,Male,10,3,10,2024
100020,11685,246233,Toys,17.99,0.0,2,PayPal,4,West,No,35.98,5.56,8.83,64,Female,5,4,10,2024
100021,17476,221471,Fashion,39.54,0.0,1,COD,6,North,No,39.54,5.3,8.54,49,Other,11,3,14,2024
100022,10769,203302,Electronics,128.8,0.0,1,Debit Card,4,North,No,128.8,7.77,7.69,41,Female,12,5,14,2024
100023,12391,214437,Fashion,176.45,0.0,1,Debit Card,7,South,No,176.45,6.67,55.09,34,Male,5,4,16,2025
100024,15611,247930,Sports,345.57,0.15,2,Debit Card,5,Central,No,587.47,9.48,166.76,32,Female,4,1,16,2024
100025,17581,214512,Beauty,12.49,0.0,3,UPI,7,East,No,37.47,5.46,11.4,49,Female,8,5,31,2024
100026,16949,232436,Sports,157.21,0.15,1,Debit Card,5,South,No,133.63,6.75,33.34,20,Female,8,1,26,2025
100027,12433,223511,Fashion,11.24,0.0,2,Debit Card,4,West,No,22.48,6.09,1.78,60,Female,8,1,19,2025
100028,15311,205022,Grocery,20.97,0.0,2,PayPal,6,South,No,41.94,4.61,-1.25,61,Female,5,0,27,2024
100029,15051,243239,Home,54.42,0.0,2,UPI,6,East,No,108.84,8.05,22.43,36,Female,10,2,11,2023
100030,16420,206155,Home,54.93,0.15,1,Credit Card,6,South,No,46.69,5.74,7.33,44,Male,11,6,12,2023
100031,11184,231480,Grocery,10.32,0.15,1,Debit Card,7,East,No,8.77,1.24,-0.54,32,Male,4,0,8,2024
100032,14555,238022,Grocery,7.56,0.0,1,Credit Card,5,North,No,7.56,2.06,-1.46,61,Female,12,5,30,2023
100033,13385,225332,Sports,22.33,0.05,1,Credit Card,4,South,No,21.21,4.26,2.1,26,Male,8,1,6,2024
100034,14117,204354,Grocery,12.84,0.0,2,Debit Card,3,North,No,25.68,6.32,-4.27,21,Female,8,3,8,2024
100035,16396,231847,Beauty,8.89,0.0,2,Credit Card,4,South,No,17.78,4.78,3.22,19,Female,4,3,4,2024
100036,14843,235284,Fashion,33.9,0.0,2,Debit Card,5,South,No,67.8,4.98,18.75,28,Female,5,1,27,2025
100037,12904,248640,Fashion,17.92,0.0,1,Credit Card,5,West,No,17.92,5.86,0.41,28,Male,7,2,10,2024
100038,17728,210156,Beauty,50.75,0.0,2,Credit Card,7,West,No,101.5,6.46,39.22,46,Female,2,3,13,2025
100039,10474,222453,Beauty,13.11,0.15,1,Credit Card,6,West,No,11.14,4.4,0.61,51,Female,8,5,17,2024
